name,prefix,alias
Municipal,null,Instituto
Escuela Municipal De Música,null,Instituto
Sagrada Familia,null,Colegio
San José,null,Colegio
Sagrado Corazón,null,Colegio
Municipal,"E. DE MÚSICA ",Instituto
Municipal,"CENTRE FPA ",Instituto
María Inmaculada,null,Colegio
La Milagrosa,null,Colegio
Arco Iris,null,Escuela Infantil
La Salle,null,Colegio
Miguel Hernández,null,Instituto
Nuestra Señora Del Rosario,null,Colegio
Sección EOI,EOI,Instituto
Nuestra Señora Del Carmen,null,Colegio
la Inmaculada,null,Colegio
Cenafe,null,Instituto
Sagrado Corazón De Jesús,null,Colegio
Clara Campoamor,null,Instituto
Antonio Machado,null,Instituto
Santa Ana,null,Colegio
Tándem,null,Instituto
Escuela Territorial De Técnicos Y Técnicos Superiores Deportivos De Fútbol Y Fútbol Sala,null,Instituto
Garabatos,null,Escuela Infantil
Bambi,null,Escuela Infantil
Federico García Lorca,null,Instituto
Santa Teresa De Jesús,null,Colegio
San Vicente De Paul,null,Colegio
Antonio Machado,null,Colegio
Centro Penitenciario,null,Instituto
Cenafe Escuelas,null,Instituto
Nuestra Señora De La Consolación,null,Colegio
Compañía De María,null,Colegio
EOI,"EOI ",Instituto
Santísima Trinidad,null,Colegio
Colorines,null,Escuela Infantil
María Zambrano,null,Instituto
Amor De Dios,null,Colegio
Centro De Promocion De La Mujer-centro,null,Colegio
Cervantes,null,Colegio
Giner De Los Ríos,null,Instituto
Sant Jordi,null,Colegio
Paulo Freire,null,Instituto
Miguel De Cervantes,null,Colegio
San Agustín,null,Colegio
Pinocho,null,Escuela Infantil
Sant Josep,null,Colegio
Escuelas Ceneted,null,Instituto
Ceneted,null,Instituto
Miguel De Cervantes,null,Instituto
Ceneted,"CENTRE ENSENYAMENTS ESPORTIUS ",Instituto
Cented,null,Instituto
Cor De María,null,Colegio
Mediterráneo,null,Instituto
Escuela De Música,Escuela De Musica,Instituto
María Inmaculada,null,Instituto
Santa Teresa,null,Colegio
Blas Infante,null,Instituto
Alter Musici,null,Instituto
De Teruel,null,Instituto
La Paz,null,Instituto
Divina Pastora,null,Colegio
San Antonio,null,Instituto
San José De Calasanz,null,Colegio
Colorin Colorado,null,Escuela Infantil
Dumbo,null,Escuela Infantil
María Auxiliadora,null,Colegio
Mafalda,null,Escuela Infantil
San Miguel,null,Colegio
San Jorge,null,Instituto
El Pilar,null,Instituto
Enric Valor,"CENTRE PÚBLIC FPA ",Instituto
Municipal,CENTRE FPA MUNICIPAL,Instituto
De Alcañiz,null,Instituto
Santa Cecilia,null,Instituto
Snoopy,null,Escuela Infantil
Los Pitufos,null,Escuela Infantil
Sant Vicenç De Paül,null,Colegio
Santa Cruz De Tenerife,null,Instituto
Los Pinos,null,Instituto
Sagrada Familia,"CENTRE PRIVAT ",Colegio
San Rafael,null,Colegio
Centro De Formación Academica De Entrenadores De Futbol (acadef),null,Instituto
Acadef,null,Instituto
Afen Escuela Técnico Deportiva,null,Instituto
De ávila,null,Instituto
Nuestra Señora del Pilar,null,Colegio
Pasitos,null,Escuela Infantil
Radio Ecca,null,Instituto
Divino Maestro,null,Colegio
Nuestra Señora De La Merced,null,Colegio
Sant Francesc D'assís,null,Colegio
Santiago Apóstol,null,Colegio
Carlos III,null,Instituto
Nuestra Señora De La Consolación,"CENTRE PRIVAT ",Colegio
La Laguna,null,Instituto
Pau Casals,null,Instituto
Nuestra Señora de Los Remedios,null,Colegio
Cervantes,null,Instituto
Luna Lunera,null,Escuela Infantil
Fantasía,null,Escuela Infantil
O.s.c.u.s.,null,Instituto
Nuestra Señora De Los Dolores,null,Colegio
C.de Capacitaciói Agraria,null,Instituto
María Auxiliadora - Salesianas,null,Colegio
Nuestra Señora De Las Mercedes,null,Colegio
Ciudad Jardín,null,Instituto
Juan Ramón Jiménez,null,Colegio
Municipal,"EI 1er CICLE ",Escuela Infantil
San José,null,Escuela Infantil
Patufet,null,Escuela Infantil
Hosteleria,CIFP,Instituto
Sagrada Familia,null,Escuela Infantil
Santa Brígida,null,Instituto
De Reus,null,Instituto
San Francisco,null,Colegio
Azahar,null,Instituto
Güímar,null,Instituto
Quitxalla,null,Escuela Infantil
La Jara,null,Instituto
Leioa,null,Instituto
Al-ándalus,null,Instituto
Inmaculada Concepción,null,Colegio
Sol Solet,null,Escuela Infantil
Santo Tomás,null,Colegio
Santo Ángel,null,Colegio
Juan Ramón Jimenez,null,Instituto
Virgen Del Amparo,null,Colegio
La Cometa,null,Escuela Infantil
Coín,null,Instituto
Donostia,null,Instituto
Icod De Los Vinos,null,Instituto
Isaac Albeniz,null,Instituto
Federico García Lorca,null,Colegio
Guadiana,null,Instituto
Luís Vives,null,Colegio
