"id","tipo","actividad","name","icon","icon_new","visible","slug","created_at","updated_at","relevance"
"28","Deportivas","Fútbol","Fútbol","140389.svg","futbol.svg","1","futbol","22/2/2020 14:23:02","28/6/2022 12:28:34","1"
"29","Deportivas","Baloncesto","Baloncesto","140378.svg","baloncesto.svg","1","baloncesto","22/2/2020 14:23:02","28/6/2022 12:28:34","1"
"30","Deportivas","Balonmano","Balonmano","140422.svg","balonmano.svg","1","balonmano","22/2/2020 14:23:03","28/6/2022 12:28:34","1"
"31","Deportivas","Tenis","Tenis","140400.svg","tenis.svg","1","tenis","22/2/2020 14:23:03","28/6/2022 12:28:34","1"
"32","Deportivas","Pádel","Pádel","434062.svg","padel.svg","1","padel","22/2/2020 14:23:03","28/6/2022 12:28:34","1"
"33","Deportivas","Natación","Natación","495841.svg","natacion.svg","1","natacion","22/2/2020 14:23:03","28/6/2022 12:28:34","1"
"34","Deportivas","Ajedrez","Ajedrez","140368.svg","ajedrez.svg","1","ajedrez","22/2/2020 14:23:03","28/6/2022 12:28:34","1"
"35","Deportivas","Patinaje","Patinaje","140336.svg","patinaje.svg","1","patinaje","22/2/2020 14:23:03","28/6/2022 12:28:34","1"
"36","Deportivas","Gimnasia rítmica","Gimnasia rítmica","184031.svg","gimnasia_ritmica.svg","1","gimnasia-ritmica","22/2/2020 14:23:03","28/6/2022 12:28:34","1"
"37","Artísticas","Baile","Baile","2991570.svg","baile.svg","1","baile","22/2/2020 14:23:03","28/6/2022 12:28:34","1"
"38","Deportivas","Otros (campo vacío)","Otros (campo vacío)","2972214.svg","","0","otros","22/2/2020 14:23:04","28/6/2022 12:28:34","1"
"39","Artísticas","Magia","Magia","681575.svg","magia.svg","1","magia","22/2/2020 14:23:04","28/6/2022 12:28:34","1"
"40","Artísticas","Piano","Piano","140205.svg","piano.svg","1","piano","22/2/2020 14:23:04","28/6/2022 12:28:35","1"
"41","Artísticas","Guitarra","Guitarra","140228.svg","guitarra.svg","1","guitarra","22/2/2020 14:23:04","28/6/2022 12:28:35","1"
"42","Artísticas","Canto","Canto","140199.svg","canto.svg","1","canto","22/2/2020 14:23:04","28/6/2022 12:28:35","1"
"43","Artísticas","Cine","Cine","2228356.svg","cine.svg","1","cine","22/2/2020 14:23:04","28/6/2022 12:28:35","1"
"44","Artísticas","Manualidades","Manualidades","2458416.svg","manualidades.svg","1","manualidades","22/2/2020 14:23:04","28/6/2022 12:28:35","1"
"45","Artísticas","Teatro","Teatro","3022587.svg","teatro.svg","1","teatro","22/2/2020 14:23:05","28/6/2022 12:28:35","1"
"46","Artísticas","Otros (campo vacío)","Otros (campo vacío)","3022587.svg","","0","otros","22/2/2020 14:23:05","28/6/2022 12:28:35","1"
"47","Culturales","Apoyo al estudio","Apoyo al estudio","167729.svg","book.png","1","apoyo-al-estudio","22/2/2020 14:23:05","1/4/2024 19:13:17","1"
"48","Culturales","Chino","Chino","china.png","china.png","1","extraescolar-chino","22/2/2020 14:23:05","9/8/2022 10:37:25","1"
"49","Culturales","Inglés","Inglés","united-kingdom.png","united-kingdom.png","1","extraescolar-ingles","22/2/2020 14:23:05","9/8/2022 10:37:27","1"
"50","Culturales","Francés","Francés","france.png","france.png","1","extraescolar-frances","22/2/2020 14:23:05","9/8/2022 10:37:30","1"
"51","Culturales","Alemán","Alemán","germany.png","germany.png","1","extraescolar-aleman","22/2/2020 14:23:06","9/8/2022 10:37:34","1"
"52","Culturales","Otros idiomas","Otros idiomas","557032.svg","otros_idiomas.svg","1","otros-idiomas","22/2/2020 14:23:06","28/6/2022 12:28:36","1"
"53","Culturales","Programación","Programación","2972230.svg","programacion.svg","1","programacion","22/2/2020 14:23:06","28/6/2022 12:28:36","1"
"54","Culturales","Robótica","Robótica","900973.svg","robotica.svg","1","robotica","22/2/2020 14:23:06","28/6/2022 12:28:36","1"
"55","Culturales","Otros (campo vacío)","Otros (campo vacío)","167740.svg","","0","otros","22/2/2020 14:23:06","28/6/2022 12:28:36","1"
