"name","schools"
"service_23","2445"
"service_34","1050"
"service_9","572"
"service_35","463"
"service_11","432"
"service_24","520"
"service_16","885"
"service_10","762"
"service_14","1369"
"service_32","1119"
"service_33","939"
"service_50","2387"
"service_6","12126"
"service_26","1295"
"service_43","1516"
"service_22","12219"
"service_12","165"
"service_28","285"
"service_29","428"
"service_17","3648"
"service_37","406"
"service_27","1760"
"service_39","114"
"service_36","1841"
"service_38","451"
"service_40","324"
"service_7","27"
"service_21","3549"
"service_18","1769"
"service_19","39"
"service_31","2196"
"service_15","775"
"service_25","1642"
"service_49","3515"
"service_5","10549"
"service_30","749"
"service_8","2525"
"service_13","247"
"service_4","6048"
"service_2","15"
"service_1","1"
"service_45","256"
"service_44","1045"
"service_48","779"
"service_42","669"
"service_47","4932"
"service_41","3167"
"service_46","1919"
"service_3","2346"
"installation_12","528"
"installation_9","1470"
"installation_10","1436"
"installation_7","1657"
"installation_16","723"
"installation_13","484"
"installation_2","1295"
"installation_22","1317"
"installation_14","1312"
"installation_8","594"
"installation_18","1778"
"installation_19","1688"
"installation_1","351"
"installation_3","213"
"installation_6","1327"
"installation_5","1287"
"installation_21","218"
"installation_4","656"
"installation_17","839"
"installation_11","1402"
"installation_20","1402"
"installation_15","1193"
"stage_6","10853"
"stage_1","22879"
"stage_2","14408"
"stage_3","7776"
"stage_4","4949"
"stage_5","4423"
"stage_9","9438"
"language_1","34721"
"language_2","34428"
"language_3","1415"
"language_4","123"
"language_5","494"
"language_6","25"
"language_7","6324"
"language_8","1556"
"language_9","2034"
"language_10","3697"
"language_12","4"
"language_13","31"
"language_14","20"
"language_15","18"
"language_17","2"
"language_18","2"
"language_19","3"
"language_21","3"
"language_22","1"
"language_25","1"
"language_27","1"
"platform_63","1"
"platform_8","286"
"platform_82","1"
"platform_72","1"
"platform_19","367"
"platform_47","4"
"platform_69","1"
"platform_77","1"
"platform_21","113"
"platform_56","3"
"platform_17","207"
"platform_10","182"
"platform_81","1"
"platform_15","24"
"platform_33","3"
"platform_13","17"
"platform_7","1119"
"platform_83","1"
"platform_5","42"
"platform_1","1042"
"platform_61","1"
"platform_57","2"
"platform_39","2"
"platform_54","1"
"platform_53","6"
"platform_55","1"
"platform_34","5"
"platform_41","1"
"platform_84","2"
"platform_85","1"
"platform_46","13"
"platform_18","1"
"platform_59","1"
"platform_60","1"
"platform_43","3"
"platform_44","4"
"platform_45","1"
"platform_42","2"
"platform_48","13"
"platform_67","1"
"platform_79","1"
"platform_32","561"
"platform_62","1"
"platform_38","1"
"platform_86","1"
"platform_80","1"
"platform_30","1"
"platform_66","1"
"platform_31","1"
"platform_68","13"
"platform_2","148"
"platform_9","5"
"platform_37","1"
"platform_65","2"
"platform_49","1"
"platform_35","90"
"platform_40","1"
"platform_12","9"
"platform_78","1"
"platform_16","119"
"platform_51","1"
"platform_64","1"
"platform_76","2"
"platform_75","1"
"platform_71","1"
"platform_6","194"
