"id","tipo","icon","icon_new","key","name","slug","title","diversidad","otros","order","relevance","hidden","created_at","updated_at"
"1","premios","167749.svg","centro_excelencia.svg","centroEx","Centro excelencia","centro-excelencia",,"0","0","1",,"1","31/10/2020 18:41:13","23/6/2022 12:21:48"
"2","premios","167749.svg","aula_excelencia.svg","aulaEx","Aula excelencia","aula-excelencia",,"0","0","2",,"1","31/10/2020 18:41:13","23/6/2022 12:21:49"
"3","tecnologia","167713.svg","centro_tecnologico.svg","innov","Centro tecnológico","centro-tecnologico","Es un centro tecnológico.","0","1","1","1","0","31/10/2020 18:41:13","10/11/2023 13:45:32"
"4","otros","167728.svg","Transporte_Escolar.svg","trans","Transporte escolar","transporte-escolar","Se oferta servicio de ruta.","0","0","1","26","0","31/10/2020 18:41:13","10/11/2023 13:43:52"
"5","otros","167727.svg","Horario_ampliado.svg","horario","Horario ampliado","horario-ampliado",,"0","0","2","51","0","31/10/2020 18:41:14","10/11/2023 13:43:57"
"6","comedor","2944488.svg","Comedor.svg","comedor","Comedor","comedor",,"0","0","1","95","0","31/10/2020 18:41:14","10/11/2023 13:44:01"
"7","familia",,"Residencia.svg","residencia","Residencia","residencia",,"0","0","5","1","1","31/10/2020 18:41:14","3/4/2024 19:14:12"
"8","otros",,"Jornada_Dividida.svg","jorDiv","Jornada dividida","jornada-dividida",,"0","0","6",,"1","31/10/2020 18:41:14","3/4/2024 20:42:19"
"9","adaptacion","2286345.svg","Deficiencia_Auditiva.svg","auditivos","Deficiencia auditiva","deficiencia-auditiva","Adaptado para alumnos con deficiencia auditiva.","1","0","3","1","0","31/10/2020 18:41:14","10/11/2023 13:45:31"
"10","adaptacion","2852410.svg","Motoricos.svg","motoricos","Discapacidad motora","discapacidad-motora","Adaptado para alumnos con deficiencia motriz o por diversidad funcional motora.","1","0","1","1","0","31/10/2020 18:41:14","10/11/2023 13:45:31"
"11","adaptacion",,"Desarrollo.svg","desarrollo","Desarrollo","desarrollo",,"1","0","6",,"1","31/10/2020 18:41:14","3/4/2024 20:42:18"
"12","comedor","2892851.svg","Traer_comida_casa.svg","tupper","Traer comida de casa","traer-comida-de-casa","Se permite traer la comida de casa.","0","0","2","2","0","31/10/2020 18:41:14","10/11/2023 13:44:07"
