id,user_id,title,description,reserved,web_slug,item_is_shippable,user_allows_shipping,date_last_modified,date_first_created,date_last_scraped,country_code,num_images,refurbished,currency,price_cents
pzp28072x4j3,pj9yn99poo6e,1-862-602-13 tarjeta av para TV LCD Sony,1-862-602-13 tarjeta av para TV LCD Sony,0,1-862-602-13-scheda-av-per-tv-lcd-sony-961973898,1,1,24061321,23120413,24081120,IT,1,0,EUR,400
wzv498prl7zl,xpzpml72qmz3,Mando LG,Mando LG. Sólo envío. mejor por GLS o Boyacá. ,0,mando-lg-960741017,1,1,24061419,23113019,24081120,ES,4,0,EUR,400
xpzpmqgk19z3,4w67v8q3796x,Cable de Módem Nulo serie RS 232  DB9,Sin usar,0,cable-de-modem-nulo-serie-rs-232-db9-116567498,1,1,24061423,16110900,24081120,ES,2,0,EUR,400
pj9gn3lp106e,436enxnlyk6d,Manuales TV Sony Bravia,"Manuales y documentación original de televisión Android Sony Bravia KDL-50W808C.

Como regalo, incluyo el manual extendido de la página web de Sony impreso y encuadernado.",0,manuales-tv-sony-bravia-636549613,1,1,24061510,21050419,24081120,ES,5,0,EUR,400
3zl9r2d54pzx,436e5kyllq6d,mando lg,original,0,mando-lg-698533093,1,1,24061513,21102423,24081120,ES,1,0,EUR,400
pj959grq5kze,v9jdwndgrd6k,boman lcd display pantalla televisión ,"No se si funciona porque no tengo cargado
Cambio por cualquier otra cosa ",0,boman-lcd-display-pantalla-television-908879713,1,1,24061912,23060916,24081120,ES,4,0,EUR,400
vjrrdpvdqwjk,436ewwv94k6d,vendo tele pequeña i-joy,"vendo tele pequeña con manchas en la pantalla de hay su precio
Sin cable y sin mando a distancia ",0,vendo-tele-pequena-i-joy-783822091,1,1,24061915,22051813,24081120,ES,5,0,EUR,400
wzy4egmd1pz5,g0j280xw3djy,Amplificador ,"amplificador tv sólo lo tubepuesto una temporada luego hize cambios,lo quite y está en muy buenas condiciones",0,amplificador-960145768,1,1,24071115,23112818,24081120,ES,3,0,EUR,400
qjwy4qq20wzo,9wzvq1qm34jl,"televisor firstline 5.5""","televisor de 5.5"" Firstline blanco y negro con radio FM y AM...sistema TV: PAL B/G",0,televisores-combo-425133953,1,1,24071213,19110516,24081120,ES,1,0,EUR,400
8j3xpp2mgyj9,evjr19dg2l6k,DVD,DVD,0,dvd-631508810,1,1,24070914,21042117,24081120,ES,1,0,EUR,400
8j3eq3g3n2z9,v4z4k7pdvjy7,cable televisión ,7m sin estrenar,0,cable-television-923498410,1,1,24070718,23080509,24081120,ES,2,0,EUR,400
36e1n1y13yjd,3zlg0ox0n2jx,Botonera TV TDSYSTEMS,"Botonera para TV TDSystems
Modelo TV K24LM2H
Referencia MKN-LED215M1-7KEY

Reciclado, funciona correctamente",0,botonera-tv-tdsystems-981327715,1,1,24070723,24020917,24081120,ES,4,0,EUR,400
8z8k89d9qdz3,vjrde3qr1w6k,Adaptador,Está en perfecto estado,0,adaptador-1007527722,1,1,24070814,24050620,24081120,PT,1,0,EUR,400
w674yx5km86x,xpzp1go1dmz3,TV antiguo  funcionando con euroconector ,"TV antiguo pequeño funcionando con euroconector. necesita un TDT 
Ancho 38 , fondo 38 y alto 35,5, diagonal 50",0,tv-antiguo-funcionando-con-euroconector-989914704,1,1,24070816,24030916,24081120,ES,4,0,EUR,400
e658gn2nx06o,xpzp1go1dmz3,TV Grundig ST 63-700 NIC/TOP,"Televisor analogico Grundig ST 63-700  NIC/TOP con mando. Funcionando, 2 euroconectores, tomas para satélite y surround.",0,tv-grundig-st-63-700-nic-top-993846500,1,0,24070816,24032313,24081120,ES,6,0,EUR,400
wzvy15yw44zl,xpzpkqwg84j3,cable d ante mas o menos 5 metros,cable s antena,0,cable-d-ante-mas-o-menos-5-metros-554106365,1,1,24070417,20100315,24081120,ES,2,0,EUR,400
pj9588v1vmze,g0j2gg8p4mzy,Receptor satélite ,"receptor satélites Axil AD-600, con entrada de tarjeta, funciona pero le falta el mando a distancia.",0,receptor-satelite-955319261,1,1,24070712,23111313,24081120,ES,7,0,EUR,400
nz04ymnk8djo,v6g4od84q76e,Diodo 1n4728A,"Precio de 7 unidades y envio incluido por ordinario,  posibilidad de entrega en mano en Valencia capital.
tambien envio por la aplicacion.

Tensión directa de 1,2V a 200mA
Corriente inversa de 76mA

Al tratase de componentes que se pueden averiar por un mal uso no se ofrece ninguna garantía ni devolución.

Componentes nuevos solo manipulados para tomar las imágenes.

Relacionado:
Electrónica Icom Yaesu Kenwood Motorola laboratorio osciloscopio técnico LCD",0,diodo-1n4728a-1028156699,1,1,24071119,24071119,24081120,ES,1,0,EUR,400
0j24qy02wvzy,v6g4od84q76e,Diodo 1N4148,"DIODO RECTIFICADOR 100V 0,2A 

Precio de 7 unidades y envio incluido por ordinario,  posibilidad de entrega en mano en Valencia capital.
tambien envio por la aplicacion.

Al tratase de componentes que se pueden averiar por un mal uso no se ofrece ninguna garantía ni devolución.

Componentes nuevos solo manipulados para tomar las imágenes.

Relacionado:
Electrónica Icom Yaesu Kenwood Motorola laboratorio osciloscopio técnico LCD",0,diodo-1n4148-1028155435,1,1,24071119,24071119,24081120,ES,1,0,EUR,400
qjw4qyx3wezo,v6g4od84q76e,Transistor C3198 2SC3198,"TRANSISTOR NPN 60V 150mA
Encapsulado: TO-92

Precio de 3 unidades y envio incluido por ordinario,  posibilidad de entrega en mano en Valencia capital.
tambien envio por la aplicacion.

Al tratase de componentes que se pueden averiar por un mal uso no se ofrece ninguna garantía ni devolución.

Componentes nuevos solo manipulados para tomar las imágenes.

Relacionado:
Electrónica Icom Yaesu Kenwood Motorola laboratorio osciloscopio técnico LCD",0,transistor-c3198-2sc3198-1028157529,1,1,24071120,24071120,24081120,ES,2,0,EUR,400
nzx4q534k7j2,v6g4od84q76e,TRANSISTOR 2SA1266 A1266,"TRANSISTOR 2SA1266 A1266

Precio de 3 unidades y envio incluido por ordinario,  posibilidad de entrega en mano en Valencia capital.
tambien envio por la aplicacion.

Al tratase de componentes que se pueden averiar por un mal uso no se ofrece ninguna garantía ni devolución.

Componentes nuevos solo manipulados para tomar las imágenes.",0,transistor-2sa1266-a1266-1028163378,1,1,24071120,24071120,24081120,ES,2,0,EUR,400
8j3emr5gpyz9,wzynex4o4xj5,Mando TV samsung,"Mando TV Samsung , está en perfecto estado ..
No negociable y no chapas .
Si te interesa le das a comprar , si no te interesa , no molestes .",0,mando-tv-samsung-775477610,1,1,24071300,22041900,24081120,ES,1,0,EUR,400
8j34x1739y69,owzydmp81vz5,Cable HDTV para conectar Iphone,"Cable HDTV para conectar Iphone 5,6, 7 y Ipad. También modelos plus. ",0,cable-hdtv-para-conectar-iphone-985692458,1,1,24071009,24022415,24081120,ES,2,0,EUR,400
pzprw7r51463,3zl4v1dx9pjx,TDT,TDT mas conector Televes  sin mando,0,tdt-839786202,1,1,24071000,22101922,24081120,ES,2,0,EUR,400
9jdx0qwo4nzk,4w673e8385jx,televisor antiguo analógico,"Televisor WELLTECH - NR40370
14""
Funciona bien aunque la calidad de imagen es algo pobre. 
Tiene conector universal para poder conectar a TDT. 
",0,televisor-antiguo-analogico-331540136,1,0,24071020,19022420,24081120,ES,3,0,EUR,400
pj9mn87wxo6e,e65ypv8prpjo,Antenas TV,"2 antenas 
TV 
",0,antenas-tv-1019102613,1,1,24071422,24061211,24081120,ES,6,0,EUR,400
qzm4r5qrdgzv,nz0gk3xdgrjo,mandos TDT,Mandos TDT 4  cada uno,0,mandos-tdt-556041432,1,0,24080310,20100801,24081120,ES,3,0,EUR,400
